,autor,titulo,tema
0,M. Florencia Almeira Gubiani,P3.-Demyelination-remyelination in the CNS: ligand-dependent participation of the  Notch signaling pathway,Cellular and Molecular Neurobiology
0, Milagros Pereira Luppi,P3.-Demyelination-remyelination in the CNS: ligand-dependent participation of the  Notch signaling pathway,Cellular and Molecular Neurobiology
0, Paticia Mathieu,P3.-Demyelination-remyelination in the CNS: ligand-dependent participation of the  Notch signaling pathway,Cellular and Molecular Neurobiology
0, Ana Adamo.,P3.-Demyelination-remyelination in the CNS: ligand-dependent participation of the  Notch signaling pathway,Cellular and Molecular Neurobiology
0,Fernando Cruz Alsina,P4.-The Leucine-rich repeat transmembrane protein Lrig1 restricts hippocampal  dendrite complexity modulating neurotrophin-induced TrkB signaling,Cellular and Molecular Neurobiology
0, Francisco Javier Hita,P4.-The Leucine-rich repeat transmembrane protein Lrig1 restricts hippocampal  dendrite complexity modulating neurotrophin-induced TrkB signaling,Cellular and Molecular Neurobiology
0, Paula Fontanet ,P4.-The Leucine-rich repeat transmembrane protein Lrig1 restricts hippocampal  dendrite complexity modulating neurotrophin-induced TrkB signaling,Cellular and Molecular Neurobiology
0, Dolores Irala,P4.-The Leucine-rich repeat transmembrane protein Lrig1 restricts hippocampal  dendrite complexity modulating neurotrophin-induced TrkB signaling,Cellular and Molecular Neurobiology
0, Fernanda Ledda,P4.-The Leucine-rich repeat transmembrane protein Lrig1 restricts hippocampal  dendrite complexity modulating neurotrophin-induced TrkB signaling,Cellular and Molecular Neurobiology
0, Gustavo ,P4.-The Leucine-rich repeat transmembrane protein Lrig1 restricts hippocampal  dendrite complexity modulating neurotrophin-induced TrkB signaling,Cellular and Molecular Neurobiology
0,Anabel Alvarez Juliá,P5.-Coronin-1a is involved in neuronal filopodia formation induced by M6a,Cellular and Molecular Neurobiology
0, Alberto Carlos Frasch,P5.-Coronin-1a is involved in neuronal filopodia formation induced by M6a,Cellular and Molecular Neurobiology
0, Beata Fuchsova,P5.-Coronin-1a is involved in neuronal filopodia formation induced by M6a,Cellular and Molecular Neurobiology
0,Diego D Alvarez,P6.-Activity-dependent neuronal maturation in the adult hippocampus,Cellular and Molecular Neurobiology
0, Damiana P Giacomini,P6.-Activity-dependent neuronal maturation in the adult hippocampus,Cellular and Molecular Neurobiology
0, Alejandro  F Schinder,P6.-Activity-dependent neuronal maturation in the adult hippocampus,Cellular and Molecular Neurobiology
0,Jorge Mario Andreau1°2°3°,P7.-Morphological changes in subcortical white matter following cognitive training  in Macaca fascicularis,Cellular and Molecular Neurobiology
0, Ignacio Santacroce3°,P7.-Morphological changes in subcortical white matter following cognitive training  in Macaca fascicularis,Cellular and Molecular Neurobiology
0, Jorge Colombo3°,P7.-Morphological changes in subcortical white matter following cognitive training  in Macaca fascicularis,Cellular and Molecular Neurobiology
0,Nathalie Arnal1°,P8.-Neurodegeneration associated to copper and cholesterol administration in  Wistar rats,Cellular and Molecular Neurobiology
0, Carlos Marra2°,P8.-Neurodegeneration associated to copper and cholesterol administration in  Wistar rats,Cellular and Molecular Neurobiology
0,Maria Mercedes Benedetto1°,P9.-Effect of Constant Low Light Exposure on Rat Retina: A Model of Retinal  Degeneration,Cellular and Molecular Neurobiology
0, Maria Luz Quinteros Quintana2°,P9.-Effect of Constant Low Light Exposure on Rat Retina: A Model of Retinal  Degeneration,Cellular and Molecular Neurobiology
0, Mario Eduardo Guido1°,P9.-Effect of Constant Low Light Exposure on Rat Retina: A Model of Retinal  Degeneration,Cellular and Molecular Neurobiology
0, Maria Ana ,P9.-Effect of Constant Low Light Exposure on Rat Retina: A Model of Retinal  Degeneration,Cellular and Molecular Neurobiology
0,Maria Julia Busso1°,P10.-Measuring synaptic protein acetylation,Cellular and Molecular Neurobiology
0, Angeles Salles1°,P10.-Measuring synaptic protein acetylation,Cellular and Molecular Neurobiology
0, Mariano Boccia2°,P10.-Measuring synaptic protein acetylation,Cellular and Molecular Neurobiology
0, Ramiro Freudenthal1°,P10.-Measuring synaptic protein acetylation,Cellular and Molecular Neurobiology
0,Juan Manuel Fausto Caputo1°,P11.-Network of photoreceptors: An analysis of a model of high complexity,Cellular and Molecular Neurobiology
0, Valeria Laura Burgos1°,P11.-Network of photoreceptors: An analysis of a model of high complexity,Cellular and Molecular Neurobiology
0, Lucas Damian Costa1°,P11.-Network of photoreceptors: An analysis of a model of high complexity,Cellular and Molecular Neurobiology
0, Javier I. Cuneo1°,P11.-Network of photoreceptors: An analysis of a model of high complexity,Cellular and Molecular Neurobiology
0, Nicolas ,P11.-Network of photoreceptors: An analysis of a model of high complexity,Cellular and Molecular Neurobiology
0,Mariana Laura Casalia1°,P12.-Cell reprogramming to model epilepsy,Cellular and Molecular Neurobiology
0, Juan Cruz Casabona1°,P12.-Cell reprogramming to model epilepsy,Cellular and Molecular Neurobiology
0, Veronica Cavaliere Candedo1°,P12.-Cell reprogramming to model epilepsy,Cellular and Molecular Neurobiology
0, Isabel Farias1°,P12.-Cell reprogramming to model epilepsy,Cellular and Molecular Neurobiology
0, Joaquin ,P12.-Cell reprogramming to model epilepsy,Cellular and Molecular Neurobiology
0,Mariela Chertoff1°,P13.-Maternal protein malnutrition affects morphological and neurological  development in mouse littermates,Cellular and Molecular Neurobiology
0, Carolina Alberca1°,P13.-Maternal protein malnutrition affects morphological and neurological  development in mouse littermates,Cellular and Molecular Neurobiology
0, Bruno Berardino1°,P13.-Maternal protein malnutrition affects morphological and neurological  development in mouse littermates,Cellular and Molecular Neurobiology
0, Eduardo Cánepa1°,P13.-Maternal protein malnutrition affects morphological and neurological  development in mouse littermates,Cellular and Molecular Neurobiology
0,Maria Milagros Correa1°,P14.-Improved design of Angiotensin II AT2 riboprobes,Cellular and Molecular Neurobiology
0, Maria Elena Arce1°,P14.-Improved design of Angiotensin II AT2 riboprobes,Cellular and Molecular Neurobiology
0, Lucia Beatriz Fuentes1°,P14.-Improved design of Angiotensin II AT2 riboprobes,Cellular and Molecular Neurobiology
0, Gladys Maria Ciuffo2°,P14.-Improved design of Angiotensin II AT2 riboprobes,Cellular and Molecular Neurobiology
0,Romina Coullery,P15.-Role of Wnt5a in the neuronal development and its participation on the  glyphosate induced neurotoxicity,Cellular and Molecular Neurobiology
0, Silvana Rosso,P15.-Role of Wnt5a in the neuronal development and its participation on the  glyphosate induced neurotoxicity,Cellular and Molecular Neurobiology
0,Lucas Eneas Cromberg,"P16.-From axonal transport to physiology. Neuronal specific dependence for Kif5b,  an ubiquitous molecular motor",Cellular and Molecular Neurobiology
0, Trinidad Maria de los Milagros Saez,"P16.-From axonal transport to physiology. Neuronal specific dependence for Kif5b,  an ubiquitous molecular motor",Cellular and Molecular Neurobiology
0, Maria Gabriela Otero,"P16.-From axonal transport to physiology. Neuronal specific dependence for Kif5b,  an ubiquitous molecular motor",Cellular and Molecular Neurobiology
0, Victorio Pozo ,"P16.-From axonal transport to physiology. Neuronal specific dependence for Kif5b,  an ubiquitous molecular motor",Cellular and Molecular Neurobiology
0,Ana Damianich*,P17.-Behavioural phenotypes rescued in Tau Knock-out mice by human Tau re- expression,Cellular and Molecular Neurobiology
0, Sonia Espindola*,P17.-Behavioural phenotypes rescued in Tau Knock-out mice by human Tau re- expression,Cellular and Molecular Neurobiology
0, Elena Avale,P17.-Behavioural phenotypes rescued in Tau Knock-out mice by human Tau re- expression,Cellular and Molecular Neurobiology
0,Valentina Damonte1°,P18.-GHSR1a constitutive and ligand evoked activity inhibits GABAergic  transmission in primary neuronal cultures,Cellular and Molecular Neurobiology
0, Eduardo Javier López Soto1°,P18.-GHSR1a constitutive and ligand evoked activity inhibits GABAergic  transmission in primary neuronal cultures,Cellular and Molecular Neurobiology
0, Emilio Román Mustafa1°,P18.-GHSR1a constitutive and ligand evoked activity inhibits GABAergic  transmission in primary neuronal cultures,Cellular and Molecular Neurobiology
0, Silvia Rodriguez1°,P18.-GHSR1a constitutive and ligand evoked activity inhibits GABAergic  transmission in primary neuronal cultures,Cellular and Molecular Neurobiology
0, Mario ,P18.-GHSR1a constitutive and ligand evoked activity inhibits GABAergic  transmission in primary neuronal cultures,Cellular and Molecular Neurobiology
0,Víctor Danelon,P19.-Different roles of the TrkB and p75NTR neurotrophin receptors in the  Preconditioning effect in a coculture model of Status epilepticus in vitro.,Cellular and Molecular Neurobiology
0, Andrea Cragnolini,P19.-Different roles of the TrkB and p75NTR neurotrophin receptors in the  Preconditioning effect in a coculture model of Status epilepticus in vitro.,Cellular and Molecular Neurobiology
0, Laura Montroull,P19.-Different roles of the TrkB and p75NTR neurotrophin receptors in the  Preconditioning effect in a coculture model of Status epilepticus in vitro.,Cellular and Molecular Neurobiology
0, Daniel Masco,P19.-Different roles of the TrkB and p75NTR neurotrophin receptors in the  Preconditioning effect in a coculture model of Status epilepticus in vitro.,Cellular and Molecular Neurobiology
0,Daniela Di Bella,P20.-Gene regulatory network controlling late neurogenesis in the developing  spinal cord,Cellular and Molecular Neurobiology
0, Abel Carcagno,P20.-Gene regulatory network controlling late neurogenesis in the developing  spinal cord,Cellular and Molecular Neurobiology
0, Cristina Monzón,P20.-Gene regulatory network controlling late neurogenesis in the developing  spinal cord,Cellular and Molecular Neurobiology
0, Guillermo Lanuza,P20.-Gene regulatory network controlling late neurogenesis in the developing  spinal cord,Cellular and Molecular Neurobiology
0,Edith Sandra Durand1°,P21.-Differential Regulation of Myelin Basic Protein Isoforms and Deiminated  Isomers by Calmodulin,Cellular and Molecular Neurobiology
0, Mauricio R. Galiano1°,P21.-Differential Regulation of Myelin Basic Protein Isoforms and Deiminated  Isomers by Calmodulin,Cellular and Molecular Neurobiology
0, Christophe Bosc2°,P21.-Differential Regulation of Myelin Basic Protein Isoforms and Deiminated  Isomers by Calmodulin,Cellular and Molecular Neurobiology
0, Andrea L. Miranda1°,P21.-Differential Regulation of Myelin Basic Protein Isoforms and Deiminated  Isomers by Calmodulin,Cellular and Molecular Neurobiology
0, R. Frank3°,P21.-Differential Regulation of Myelin Basic Protein Isoforms and Deiminated  Isomers by Calmodulin,Cellular and Molecular Neurobiology
0, A. ,P21.-Differential Regulation of Myelin Basic Protein Isoforms and Deiminated  Isomers by Calmodulin,Cellular and Molecular Neurobiology
0,Emil Palecek4°; Elizabeth A. Jares-Erijman5°; Thomas M. Jovin1°,"P22.-Selective Oxidation of Alpha-Synuclein Promotes its Cytotoxicity Lisandro J. Falomir-Lockhart1°,2°; Claudio D. Borsarelli3°; Veronika Ostatná4°; Jonathan A. Fauerbach5°; ",Cellular and Molecular Neurobiology
0,Gimena Fernández1°,P23.-Hypothalamic tanycytes mediate ghrelin uptake into brain tissue,Cellular and Molecular Neurobiology
0, Maria Victoria Frassa1°,P23.-Hypothalamic tanycytes mediate ghrelin uptake into brain tissue,Cellular and Molecular Neurobiology
0, Pablo Nicolás De Francesco1°,P23.-Hypothalamic tanycytes mediate ghrelin uptake into brain tissue,Cellular and Molecular Neurobiology
0, Agustina Cabral1°,P23.-Hypothalamic tanycytes mediate ghrelin uptake into brain tissue,Cellular and Molecular Neurobiology
0, Daniel ,P23.-Hypothalamic tanycytes mediate ghrelin uptake into brain tissue,Cellular and Molecular Neurobiology
0,Guillermo Fernández,P24.-Inhibition of CDK5 alters Dopamine Transporter endocytosis in N2A  neuroblastoma cells,Cellular and Molecular Neurobiology
0, Gonzalo Quassollo,P24.-Inhibition of CDK5 alters Dopamine Transporter endocytosis in N2A  neuroblastoma cells,Cellular and Molecular Neurobiology
0, Favio Krapacher,P24.-Inhibition of CDK5 alters Dopamine Transporter endocytosis in N2A  neuroblastoma cells,Cellular and Molecular Neurobiology
0, Soledad Ferreras,P24.-Inhibition of CDK5 alters Dopamine Transporter endocytosis in N2A  neuroblastoma cells,Cellular and Molecular Neurobiology
0, victoria Pisano,P24.-Inhibition of CDK5 alters Dopamine Transporter endocytosis in N2A  neuroblastoma cells,Cellular and Molecular Neurobiology
0, Gabriela ,P24.-Inhibition of CDK5 alters Dopamine Transporter endocytosis in N2A  neuroblastoma cells,Cellular and Molecular Neurobiology
0,Maria Edith Ferrari,P25.-WNT7B and FRIZZLED7 are involved in the regulation  of dendrite architecture  by the non-canonical WNT pathways,Cellular and Molecular Neurobiology
0, Silvana Rosso,P25.-WNT7B and FRIZZLED7 are involved in the regulation  of dendrite architecture  by the non-canonical WNT pathways,Cellular and Molecular Neurobiology
0,Facundo Ferrero,P26.-Novel modulators of the neurotrophic actions of NGF and its receptor TrkA,Cellular and Molecular Neurobiology
0, Paula Fontanet,P26.-Novel modulators of the neurotrophic actions of NGF and its receptor TrkA,Cellular and Molecular Neurobiology
0, Fernando Alsina,P26.-Novel modulators of the neurotrophic actions of NGF and its receptor TrkA,Cellular and Molecular Neurobiology
0, Fernanda Ledda,P26.-Novel modulators of the neurotrophic actions of NGF and its receptor TrkA,Cellular and Molecular Neurobiology
0, Gustavo Paratcha,P26.-Novel modulators of the neurotrophic actions of NGF and its receptor TrkA,Cellular and Molecular Neurobiology
0,Paula Fontanet,P27.-Pea3 transcription factors are key mediators of hippocampal dendrite growth  during development,Cellular and Molecular Neurobiology
