,autor,titulo,tema,year
0,Alejandrina Funes,P1.-Incredible Mind!,Brain Awareness Week Activities,2017
1, Maria Edith Ferrari,P1.-Incredible Mind!,Brain Awareness Week Activities,2017
2, Lorena Neila,P1.-Incredible Mind!,Brain Awareness Week Activities,2017
3, Sebastian Luna,P1.-Incredible Mind!,Brain Awareness Week Activities,2017
4, Silvana Rosso,P1.-Incredible Mind!,Brain Awareness Week Activities,2017
5," Alejandra 
Pacchioni ",P1.-Incredible Mind!,Brain Awareness Week Activities,2017
6,"
Erika Schwab* 1°",P2.-Brain Week in Luján,Brain Awareness Week Activities,2017
7, Laura Montaldo* 1°,P2.-Brain Week in Luján,Brain Awareness Week Activities,2017
8, Romina Torretta 1°,P2.-Brain Week in Luján,Brain Awareness Week Activities,2017
9, Tania Valicenti 1°,P2.-Brain Week in Luján,Brain Awareness Week Activities,2017
10," Mauricio 
Montenegro 2°",P2.-Brain Week in Luján,Brain Awareness Week Activities,2017
11,"
Laura Lucia Trebucq 1°","P3.-ConurBAW: the third time, is the charm?",Brain Awareness Week Activities,2017
12, Malena Lis Mul Fedele 1°,"P3.-ConurBAW: the third time, is the charm?",Brain Awareness Week Activities,2017
13, Carlos Caldart Valle 1°,"P3.-ConurBAW: the third time, is the charm?",Brain Awareness Week Activities,2017
14, Ivana Leda Bussi 2°,"P3.-ConurBAW: the third time, is the charm?",Brain Awareness Week Activities,2017
15," 
Leandro Pablo Casiraghi 3°","P3.-ConurBAW: the third time, is the charm?",Brain Awareness Week Activities,2017
16,"
Maria Florencia Acutain",P4.-Analysis of NMDAR subunits expression after GluN2A knockdown in mature primary neuronal cultures,Cellular and Molecular Neurobiology,2017
17, Cecilia Vazquez,P4.-Analysis of NMDAR subunits expression after GluN2A knockdown in mature primary neuronal cultures,Cellular and Molecular Neurobiology,2017
18, Diana Alicia Jerusalinsky,P4.-Analysis of NMDAR subunits expression after GluN2A knockdown in mature primary neuronal cultures,Cellular and Molecular Neurobiology,2017
19, Maria Veronica Baez ,P4.-Analysis of NMDAR subunits expression after GluN2A knockdown in mature primary neuronal cultures,Cellular and Molecular Neurobiology,2017
20,"
Sofia Elisa Alzuri 1°",P5.-Cellular pathway through which Gpm6a functions in filopodium formation is dysregulated in the hippocampus of chronically stressed rats,Cellular and Molecular Neurobiology,2017
21, Natasa Hlavacova 2°,P5.-Cellular pathway through which Gpm6a functions in filopodium formation is dysregulated in the hippocampus of chronically stressed rats,Cellular and Molecular Neurobiology,2017
22, Daniela Jezova 2°,P5.-Cellular pathway through which Gpm6a functions in filopodium formation is dysregulated in the hippocampus of chronically stressed rats,Cellular and Molecular Neurobiology,2017
23, Beata Fuchsova 1°,P5.-Cellular pathway through which Gpm6a functions in filopodium formation is dysregulated in the hippocampus of chronically stressed rats,Cellular and Molecular Neurobiology,2017
24,"
María Florencia Andreoli 1°","P6.-Effects of phytoestrogens on the expression of genes involved in serotonin, glutamate and GABA pathways in RNDA cells",Cellular and Molecular Neurobiology,2017
25, Oliver Zierau 2°,"P6.-Effects of phytoestrogens on the expression of genes involved in serotonin, glutamate and GABA pathways in RNDA cells",Cellular and Molecular Neurobiology,2017
26, Dina Amer 2°,"P6.-Effects of phytoestrogens on the expression of genes involved in serotonin, glutamate and GABA pathways in RNDA cells",Cellular and Molecular Neurobiology,2017
27, Guillermo Ramos 1°,"P6.-Effects of phytoestrogens on the expression of genes involved in serotonin, glutamate and GABA pathways in RNDA cells",Cellular and Molecular Neurobiology,2017
28," Gunter 
Vollmer 2°","P6.-Effects of phytoestrogens on the expression of genes involved in serotonin, glutamate and GABA pathways in RNDA cells",Cellular and Molecular Neurobiology,2017
29,"
Joana Asensio","P7.- 1,2-AP2 EXPRESSION IN THE DEVELOPING BRAIN OF SPONTANEOUSLY HYPERTENSIVE RAT",Cellular and Molecular Neurobiology,2017
30, Mariana Troncoso,"P7.- 1,2-AP2 EXPRESSION IN THE DEVELOPING BRAIN OF SPONTANEOUSLY HYPERTENSIVE RAT",Cellular and Molecular Neurobiology,2017
31, Miguel Sosa,"P7.- 1,2-AP2 EXPRESSION IN THE DEVELOPING BRAIN OF SPONTANEOUSLY HYPERTENSIVE RAT",Cellular and Molecular Neurobiology,2017
32, Alicia Seltzer ,"P7.- 1,2-AP2 EXPRESSION IN THE DEVELOPING BRAIN OF SPONTANEOUSLY HYPERTENSIVE RAT",Cellular and Molecular Neurobiology,2017
33,"
Esteban Pablo Barila",P8.-Expression and function of KCNQ channels in Ciliary Body,Cellular and Molecular Neurobiology,2017
34, Olga Lorena German,P8.-Expression and function of KCNQ channels in Ciliary Body,Cellular and Molecular Neurobiology,2017
35, Camila Carignano,P8.-Expression and function of KCNQ channels in Ciliary Body,Cellular and Molecular Neurobiology,2017
36, Guillermo Spitzmaul ,P8.-Expression and function of KCNQ channels in Ciliary Body,Cellular and Molecular Neurobiology,2017
37,Raquel Becerra 1°,9.-The neddylation pathway regulates cytoskeletal dynamics in early neuronal stages,Cellular and Molecular Neurobiology,2017
38, Annette Volg 2°,9.-The neddylation pathway regulates cytoskeletal dynamics in early neuronal stages,Cellular and Molecular Neurobiology,2017
39, Sebastián Giusti 1°,9.-The neddylation pathway regulates cytoskeletal dynamics in early neuronal stages,Cellular and Molecular Neurobiology,2017
40, Martín Bordenave 3°,9.-The neddylation pathway regulates cytoskeletal dynamics in early neuronal stages,Cellular and Molecular Neurobiology,2017
41, Claudia Vercelli 1°,9.-The neddylation pathway regulates cytoskeletal dynamics in early neuronal stages,Cellular and Molecular Neurobiology,2017
42," 
Fernando Stefani 3°",9.-The neddylation pathway regulates cytoskeletal dynamics in early neuronal stages,Cellular and Molecular Neurobiology,2017
43, Damián Refojo 1°,9.-The neddylation pathway regulates cytoskeletal dynamics in early neuronal stages,Cellular and Molecular Neurobiology,2017
44,"
María Lucila Bechelli",10.-Medial ganglionic eminence restricted transcription factor expression and their relevance in cortical interneuron fate,Cellular and Molecular Neurobiology,2017
45, Eugenia Tomasella,10.-Medial ganglionic eminence restricted transcription factor expression and their relevance in cortical interneuron fate,Cellular and Molecular Neurobiology,2017
46, Lucas Lannutti,10.-Medial ganglionic eminence restricted transcription factor expression and their relevance in cortical interneuron fate,Cellular and Molecular Neurobiology,2017
47, Diego Matias Gelman ,10.-Medial ganglionic eminence restricted transcription factor expression and their relevance in cortical interneuron fate,Cellular and Molecular Neurobiology,2017
48,"
Clara Valentina Berdasco 1°",P11.-MURINE HIPPOCAMPAL ENCEPHALOPATHY DERIVED FROM HEMOLYTIC UREMIC SYNDROME (HUS) PRODUCED BY SHIGA TOXIN 2 (STX2) FROM ENTEROHEMORRHAGIC ESCHERICHIA COLI (EHEC),Cellular and Molecular Neurobiology,2017
49, Adriana Cangelosi 2°,P11.-MURINE HIPPOCAMPAL ENCEPHALOPATHY DERIVED FROM HEMOLYTIC UREMIC SYNDROME (HUS) PRODUCED BY SHIGA TOXIN 2 (STX2) FROM ENTEROHEMORRHAGIC ESCHERICHIA COLI (EHEC),Cellular and Molecular Neurobiology,2017
50, Patricia Geoghegan 2°,P11.-MURINE HIPPOCAMPAL ENCEPHALOPATHY DERIVED FROM HEMOLYTIC UREMIC SYNDROME (HUS) PRODUCED BY SHIGA TOXIN 2 (STX2) FROM ENTEROHEMORRHAGIC ESCHERICHIA COLI (EHEC),Cellular and Molecular Neurobiology,2017
51, Jorge Goldstein 1°,P11.-MURINE HIPPOCAMPAL ENCEPHALOPATHY DERIVED FROM HEMOLYTIC UREMIC SYNDROME (HUS) PRODUCED BY SHIGA TOXIN 2 (STX2) FROM ENTEROHEMORRHAGIC ESCHERICHIA COLI (EHEC),Cellular and Molecular Neurobiology,2017
52,"
Antonela Bonafina",P12.-GDNF/GFR 1 complex abrogates self-renewing activity of cortical neural precursors inducing their differentiation,Cellular and Molecular Neurobiology,2017
53, Danila Macaria,P12.-GDNF/GFR 1 complex abrogates self-renewing activity of cortical neural precursors inducing their differentiation,Cellular and Molecular Neurobiology,2017
54, Gustavo Paratcha,P12.-GDNF/GFR 1 complex abrogates self-renewing activity of cortical neural precursors inducing their differentiation,Cellular and Molecular Neurobiology,2017
55, Fernanda Ledda ,P12.-GDNF/GFR 1 complex abrogates self-renewing activity of cortical neural precursors inducing their differentiation,Cellular and Molecular Neurobiology,2017
56,Nerina Villalba 2°,P13.-Role of CB1R in hippocampal dendritic arborization,Cellular and Molecular Neurobiology,2017
