,autor,tema,poster
0," 
Aiello Ignacio",Brain Awareness Week Activities ,P1.-UNQ-BAW the IV: the last in the line of succession 
1, Laura Lucía Trebucq,Brain Awareness Week Activities ,P1.-UNQ-BAW the IV: the last in the line of succession 
2, Carlos Sebastian Caldart,Brain Awareness Week Activities ,P1.-UNQ-BAW the IV: the last in the line of succession 
3, Malena Lis Mul Fedele ,Brain Awareness Week Activities ,P1.-UNQ-BAW the IV: the last in the line of succession 
4," 
Joana Asensio1",Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain "
5, Leandro Freites1,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain "
6, Andrea Barauna1,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain "
7, Cristina Croce1,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain "
8, Samanta del Veliz1,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain "
9, Sofía Masuelli1,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain "
10," 
Elena Vasquez1",Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain "
11, Ismael Arias2,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain "
12, Carla Garrido3,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain "
13, Karina Altamirano1 ,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain "
14," 
Gerardo Ariel Rosciszewski1",Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES "
15, Verónica Murta1,Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES "
