,autor,afiliacion,titulo,tema,primer_autor
0,Maia Uriarte," Laboratorio de Neurofisiología del Instituto Multidisciplinario de Biología Celular (CONICET, UNLP, CIC-PBA), ",Assessing the distribution of tanycyte processes and their vascular contacts within the basal hypothalamus of mice,Cellular and Molecular Neurobiology,
1,Tomás Crespo," Laboratorio de Neurofisiología del Instituto Multidisciplinario de Biología Celular (CONICET, UNLP, CIC-PBA), ",Assessing the distribution of tanycyte processes and their vascular contacts within the basal hypothalamus of mice,Cellular and Molecular Neurobiology,
2,Mirta Reynaldo," Laboratorio de Neurofisiología del Instituto Multidisciplinario de Biología Celular (CONICET, UNLP, CIC-PBA), ",Assessing the distribution of tanycyte processes and their vascular contacts within the basal hypothalamus of mice,Cellular and Molecular Neurobiology,
3,Paula Reggiani," Instituto de Investigaciones Bioquímicas de La Plata (INIBIOLP),  Facultad de Ciencias Médicas, UNLP, ",Assessing the distribution of tanycyte processes and their vascular contacts within the basal hypothalamus of mice,Cellular and Molecular Neurobiology,
4,Rodolfo Goya," Instituto de Investigaciones Bioquímicas de La Plata (INIBIOLP),  Facultad de Ciencias Médicas, UNLP, ",Assessing the distribution of tanycyte processes and their vascular contacts within the basal hypothalamus of mice,Cellular and Molecular Neurobiology,
5,Mario Perelló," Laboratorio de Neurofisiología del Instituto Multidisciplinario de Biología Celular (CONICET, UNLP, CIC-PBA), ",Assessing the distribution of tanycyte processes and their vascular contacts within the basal hypothalamus of mice,Cellular and Molecular Neurobiology,
6,Pablo Nicolás De Francesco," Laboratorio de Neurofisiología del Instituto Multidisciplinario de Biología Celular (CONICET, UNLP, CIC-PBA), ",Assessing the distribution of tanycyte processes and their vascular contacts within the basal hypothalamus of mice,Cellular and Molecular Neurobiology,
0,Sebastián Rivas," Instituto de Biociencias, Biotecnología y Biología traslacional-FCEN-UBA / CONICET",Chemical-LTP induce changes in the acetylation state of synaptic protein and PSD95 clustering in cultures of mice hippocampal neurons,Cellular and Molecular Neurobiology,
1,María Florencia Acutain, Instituto de Biología Celular y Neurociencias-FMed-UBA-CONICET,Chemical-LTP induce changes in the acetylation state of synaptic protein and PSD95 clustering in cultures of mice hippocampal neurons,Cellular and Molecular Neurobiology,
2,Verónica Báez, Instituto de Biología Celular y Neurociencias-FMed-UBA-CONICET,Chemical-LTP induce changes in the acetylation state of synaptic protein and PSD95 clustering in cultures of mice hippocampal neurons,Cellular and Molecular Neurobiology,
3,Ramiro Freudenthal," Instituto de Biociencias, Biotecnología y Biología traslacional-FCEN-UBA / CONICET",Chemical-LTP induce changes in the acetylation state of synaptic protein and PSD95 clustering in cultures of mice hippocampal neurons,Cellular and Molecular Neurobiology,
0,Sebastián Giunti,"[' Instituto de Investigaciones Bioquímicas de Bahía Blanca (INIBIBB-CONICET)', ' Departamento de Biología, Bioquímica y Farmacia, Universidad Nacional del Sur']",Exogenous ketone bodies ameliorate neurodevelopmental defects associated with daf-18/PTEN mutations,Cellular and Molecular Neurobiology,
1,Pamela Azcona, Instituto de Investigaciones Bioquímicas de Bahía Blanca (INIBIBB-CONICET),Exogenous ketone bodies ameliorate neurodevelopmental defects associated with daf-18/PTEN mutations,Cellular and Molecular Neurobiology,
2,María José De Rosa,"[' Instituto de Investigaciones Bioquímicas de Bahía Blanca (INIBIBB-CONICET)', ' Departamento de Biología, Bioquímica y Farmacia, Universidad Nacional del Sur']",Exogenous ketone bodies ameliorate neurodevelopmental defects associated with daf-18/PTEN mutations,Cellular and Molecular Neurobiology,
3,Diego Rayes,"[' Instituto de Investigaciones Bioquímicas de Bahía Blanca (INIBIBB-CONICET)', ' Departamento de Biología, Bioquímica y Farmacia, Universidad Nacional del Sur']",Exogenous ketone bodies ameliorate neurodevelopmental defects associated with daf-18/PTEN mutations,Cellular and Molecular Neurobiology,
0,Giulia Clas, FLENI,Genetic risk factors for Alzheimer’s Disease in adults with Down Syndrome in the Argentine population,Cellular and Molecular Neurobiology,
1,Lucia Pertierra, FLENI,Genetic risk factors for Alzheimer’s Disease in adults with Down Syndrome in the Argentine population,Cellular and Molecular Neurobiology,
2,Nahuel Magrath, FLENI,Genetic risk factors for Alzheimer’s Disease in adults with Down Syndrome in the Argentine population,Cellular and Molecular Neurobiology,
3,Fernanda Tapajóz, FLENI,Genetic risk factors for Alzheimer’s Disease in adults with Down Syndrome in the Argentine population,Cellular and Molecular Neurobiology,
4,Tatiana Itzcovich, FLENI,Genetic risk factors for Alzheimer’s Disease in adults with Down Syndrome in the Argentine population,Cellular and Molecular Neurobiology,
5,Matias Niikado, FLENI,Genetic risk factors for Alzheimer’s Disease in adults with Down Syndrome in the Argentine population,Cellular and Molecular Neurobiology,
6,Micaela Barbieri, FLENI,Genetic risk factors for Alzheimer’s Disease in adults with Down Syndrome in the Argentine population,Cellular and Molecular Neurobiology,
7,Horacio Martinetto, FLENI,Genetic risk factors for Alzheimer’s Disease in adults with Down Syndrome in the Argentine population,Cellular and Molecular Neurobiology,
8,Gustavo Sevlever, FLENI,Genetic risk factors for Alzheimer’s Disease in adults with Down Syndrome in the Argentine population,Cellular and Molecular Neurobiology,
9,Ricardo Allegri, FLENI,Genetic risk factors for Alzheimer’s Disease in adults with Down Syndrome in the Argentine population,Cellular and Molecular Neurobiology,
10,Ezequiel Surace, FLENI,Genetic risk factors for Alzheimer’s Disease in adults with Down Syndrome in the Argentine population,Cellular and Molecular Neurobiology,
0,M. Julieta Boezio," IFEC- CONICET. Departamento de Farmacología, Fac. De Ciencias Químicas, Universidad Nacional de Córdoba, Argentina.",Impact of Val66Met polymorphism in the brain-derived neurotrophic factor (BDNF) gene in the vulnerability to cocaine addiction induced by chronic stress,Cellular and Molecular Neurobiology,
1,Milena Jandar Paz," Instituto Ferreyra (INIMEC-CONICET-Universidad Nacional de Córdoba), Córdoba, Argentina.",Impact of Val66Met polymorphism in the brain-derived neurotrophic factor (BDNF) gene in the vulnerability to cocaine addiction induced by chronic stress,Cellular and Molecular Neurobiology,
2,Daiana Rigoni," IFEC- CONICET. Departamento de Farmacología, Fac. De Ciencias Químicas, Universidad Nacional de Córdoba, Argentina.",Impact of Val66Met polymorphism in the brain-derived neurotrophic factor (BDNF) gene in the vulnerability to cocaine addiction induced by chronic stress,Cellular and Molecular Neurobiology,
3,Liliana M. Cancela," IFEC- CONICET. Departamento de Farmacología, Fac. De Ciencias Químicas, Universidad Nacional de Córdoba, Argentina.",Impact of Val66Met polymorphism in the brain-derived neurotrophic factor (BDNF) gene in the vulnerability to cocaine addiction induced by chronic stress,Cellular and Molecular Neurobiology,
4,Agustín Anastasia," Instituto Ferreyra (INIMEC-CONICET-Universidad Nacional de Córdoba), Córdoba, Argentina.",Impact of Val66Met polymorphism in the brain-derived neurotrophic factor (BDNF) gene in the vulnerability to cocaine addiction induced by chronic stress,Cellular and Molecular Neurobiology,
5,Flavia Bollati," IFEC- CONICET. Departamento de Farmacología, Fac. De Ciencias Químicas, Universidad Nacional de Córdoba, Argentina.",Impact of Val66Met polymorphism in the brain-derived neurotrophic factor (BDNF) gene in the vulnerability to cocaine addiction induced by chronic stress,Cellular and Molecular Neurobiology,
0,Candelaria Leiguarda," Instituto de Investigaciones en Medicina Traslacional (IIMT), Universidad Austral-CONICET, Buenos Aires, Argentina.",IMT504 provides analgesia by modulating cell infiltrate and cytokine milieu in rats with hindpaw inflammation,Cellular and Molecular Neurobiology,
1,Constanza Potilinski," Instituto de Investigaciones en Medicina Traslacional (IIMT), Universidad Austral-CONICET, Buenos Aires, Argentina.",IMT504 provides analgesia by modulating cell infiltrate and cytokine milieu in rats with hindpaw inflammation,Cellular and Molecular Neurobiology,
