,autor,tema,titulo,year
0," 
Aiello Ignacio",Brain Awareness Week Activities ,P1.-UNQ-BAW the IV: the last in the line of succession ,2018
1, Laura Lucía Trebucq,Brain Awareness Week Activities ,P1.-UNQ-BAW the IV: the last in the line of succession ,2018
2, Carlos Sebastian Caldart,Brain Awareness Week Activities ,P1.-UNQ-BAW the IV: the last in the line of succession ,2018
3, Malena Lis Mul Fedele ,Brain Awareness Week Activities ,P1.-UNQ-BAW the IV: the last in the line of succession ,2018
4," 
Joana Asensio1",Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain ",2018
5, Leandro Freites1,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain ",2018
6, Andrea Barauna1,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain ",2018
7, Cristina Croce1,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain ",2018
8, Samanta del Veliz1,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain ",2018
9, Sofía Masuelli1,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain ",2018
10," 
Elena Vasquez1",Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain ",2018
11, Ismael Arias2,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain ",2018
12, Carla Garrido3,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain ",2018
13, Karina Altamirano1 ,Brain Awareness Week Activities ,"P2.-Musical learning: music and sounds as evocative of memories and 
emotions in our brain ",2018
14," 
Gerardo Ariel Rosciszewski1",Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES ",2018
15, Verónica Murta1,Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES ",2018
16, Vanesa Cadena1,Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES ",2018
17, María Belén Cieri1,Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES ",2018
18," Edgardo Gabriel 
Rosciszewski2",Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES ",2018
19, Alberto Javier Ramos1 ,Brain Awareness Week Activities ,"P3.-BAW 2018 in Misiones: DO WE KNOW OUR BRAIN? A CHALLENGE OF 
SENSES ",2018
20," 
Paula Bonaccorso",Brain Awareness Week Activities ,P4.- What do you have in mind? ,2018
21, Belén Mulle,Brain Awareness Week Activities ,P4.- What do you have in mind? ,2018
