,score,match,messy,original,id,index,Partial Token Set,Partial Ratio,Token Sort,WRatio,Score Average
0,0.79,ignacio aiello,aiello ignacio," 
Aiello Ignacio",77274,77270,100,50,100,95,81.667
1,0.0,laura lucia trebucq,laura lucia trebucq, Laura Lucía Trebucq,78876,78872,100,100,100,100,100.0
2,0.64,carlos sebastian caldart valle,carlos sebastian caldart, Carlos Sebastian Caldart,48628,48625,100,100,89,95,94.667
3,0.0,malena lis mul fedele,malena lis mul fedele, Malena Lis Mul Fedele ,2329,2328,100,100,100,100,100.0
4,0.76,claudia mariana asensio,joana asensio," 
Joana Asensio1",25329,25328,100,85,61,86,77.333
5,0.58,carlos leandro freites,leandro freites, Leandro Freites1,79092,79088,100,100,81,95,92.0
6,0.81,andrea anabella barauna,andrea barauna, Andrea Barauna1,57362,57359,100,79,76,86,80.333
7,0.77,adriana cristina crolla,cristina croce, Cristina Croce1,40279,40277,100,86,65,86,79.0
8,1.05,maria isabel veliz,samanta del veliz, Samanta del Veliz1,70856,70852,100,65,69,69,67.667
9,0.0,sofia masuelli,sofia masuelli, Sofía Masuelli1,94698,94692,100,100,100,100,100.0
10,0.0,elena vasquez,elena vasquez," 
Elena Vasquez1",22908,22907,100,100,100,100,100.0
11,0.86,ismael mata,ismael arias, Ismael Arias2,48782,48779,100,82,52,78,70.667
12,0.85,silvia garrido,carla garrido, Carla Garrido3,180836,125826,100,77,52,74,67.667
13,0.65,karina noel altamirano,karina altamirano, Karina Altamirano1 ,60168,60165,100,76,87,95,86.0
14,0.0,gerardo ariel rosciszewski,gerardo ariel rosciszewski," 
Gerardo Ariel Rosciszewski1",61398,61395,100,100,100,100,100.0
15,0.0,veronica murta,veronica murta, Verónica Murta1,28810,28808,100,100,100,100,100.0
16,0.46,maria vanesa cadena,vanesa cadena, Vanesa Cadena1,13311,13310,100,100,81,95,92.0
17,0.0,maria belen cieri,maria belen cieri, María Belén Cieri1,80403,80399,100,100,100,100,100.0
18,0.66,gerardo ariel rosciszewski,"edgardo gabriel 
rosciszewski"," Edgardo Gabriel 
Rosciszewski2",61398,61395,100,88,70,87,81.667
19,0.0,alberto javier ramos,alberto javier ramos, Alberto Javier Ramos1 ,12124,12123,100,100,100,100,100.0
20,0.67,maria paula bonaccorso marinelli,paula bonaccorso," 
Paula Bonaccorso",22126,22125,100,100,67,90,85.667
21,0.86,maria del carmen muller,belen mulle, Belén Mulle,127544,110792,55,73,47,66,62.0
22,0.96,gabriela mazzocchi,vanesa bazzocchini, Vanesa Bazzocchini,60943,60940,50,67,50,67,61.333
23,1.07,patricia buguna,vanina bugueno, Vanina Bugueño,48024,48021,57,64,62,62,62.667
24,0.47,sebastian garcia marti,sebastian garcia, Sebastián García ,98447,98441,100,100,84,95,93.0
25,0.54,sara silvia kochen kochen,silvia kochen," 
Silvia Kochen1",13739,13738,100,100,68,90,86.0
26,0.0,cecilia forcato,cecilia forcato, Cecilia Forcato1,20776,20775,100,100,100,100,100.0
27,1.0,ana mercedes patricia merlo,,2,35296,35294,0,0,0,0,0.0
28,0.78,paula natalia gonzalez,paula n. gonzalez, Paula N. González1,9252,9251,100,71,84,88,81.0
29,0.66,maria vallejos,mariana vallejo, Mariana Vallejo1,39486,39484,86,86,90,90,88.667
30,0.87,malena moya,malen moyano, Malen Moyano1,79687,79683,91,91,87,87,88.333
